485.23,563.25,72.338
487.19,574.56,70.55
612.32,579.31,50.14
615.46,569.78,49.941
474.65,589.46,75
428.02,584.11,84.975
387.68,600.71,97
387.18,610.3,99
482.87,538.44,75.864
493.2,534.43,77.636
313.42,626.84,121
404.04,537.71,98.168
321.63,573.85,115
404.05,553.45,94.475
324.73,578.13,115
295.02,583.33,123
627.42,499.12,51.832
634.52,535.93,51
628.42,535.47,51
612.75,535.34,50.668
591.45,524.01,55.112
266.73,681.38,164.09
262.83,676.63,158.64
315.35,643.99,127
347.02,673.48,141.37
507.98,580.55,65
501.29,583.82,69
258.18,610.82,139
546.86,526.69,61
