170.35,129.16,178.75
277.02,89.665,160.1
275.19,102.65,147
303.42,107.83,135.24
309.24,109.42,133.64
458.97,224.16,49
425.79,192.37,58.242
297.28,155.91,109
318.27,168.35,99
458.66,146.54,76.777
484.52,185.25,52.874
200.57,72.285,211.79
128.09,115.35,201
207.03,157.76,149
233.21,112.17,159
266.07,105.97,147
261.86,112.58,143.83
301.24,130.75,119.08
300.21,123.64,124.55
353.45,127.43,107
357.86,128.38,107.55
493.27,129.16,83.27
321.19,143.68,109
363.29,139.39,99
337.12,162.85,95
336.94,214.92,85.735
457.75,167.88,64.188
219.45,131.3,155
230.28,131.27,152.03
258.48,171.84,127
265.39,176.19,121
262.14,185.5,123
265.83,135.95,130.03
320.69,122.84,124.6
315.82,124.42,121.26
254.63,129.16,138.67
315.85,137.48,115
246.88,127.23,143.67
280.77,151.47,115
386.09,136.98,95
376.31,161.11,85
380.43,164.72,82.084
417.38,177.27,65
410.91,177.44,67
497.14,199.8,43
502.45,201.14,43
535.62,201.58,41
439.31,163.71,71
449.25,172.62,64.05
388.86,173.41,75.528
392.01,175.5,73
344.57,192.54,85
343.14,199.51,83
384.33,221.29,69.255
380.6,204.41,69
208.72,99.935,180.12
240.18,76.235,189.4
292.56,137.06,117.47
486.45,172.09,59
483.59,175.99,59
