484.13,139.41,63
463.94,146.11,61
462.14,139,63
461.44,159.61,55
639.14,159.38,52.519
646.65,183.59,38.918
618.66,189.13,41.023
526.01,218.92,34.937
654.15,209.22,32.355
604.44,207,35.295
583.27,234.27,28.988
546.26,169.68,49.57
530.44,168.86,50.42
562,152.57,57.524
513.51,186.37,42.251
493.65,189.48,43.183
535.5,220.4,33
592.89,211.47,33.903
550.37,223.19,31
594.63,227.86,31
557.09,208.64,35
615.79,216.32,33
610.79,193.01,41
616.48,200.78,37
612.95,238.94,29
629.28,233.22,31
673.44,228.81,31
641.05,235.41,33
669.66,193.58,37
676.28,216.36,33
664.92,210.84,33
585.08,169.65,49
534.19,181.59,47
613.56,170.04,47
573.04,174.4,49
594.48,176.05,45
590.96,180.16,43
519.26,159.03,55
528.2,154.16,59
519.4,145.1,63
505.03,150.81,61
505.01,161.49,53
487,161.14,53
480.45,169.46,49.983
589.74,157.94,55
514.83,200.81,39
501.93,210.18,39
595.76,152.07,61.084
586.25,148.54,61
572.65,145.65,63
477.55,187.87,45
472.84,180.12,47
467.43,174.75,49
466.08,152.84,57
454.58,158.58,57
471.9,198.53,43
421.39,169.7,57
422.76,185.96,51
420.27,143.38,66.759
409.27,185.47,53
454.89,134.66,67
564.91,139.09,65
399.75,186.04,57
402.9,136.96,71
391.22,138.81,73
430.95,125.59,71
414.86,115.59,81
404.86,115.75,83
452.4,124.64,75
443.21,122.62,73
432.56,116.07,79
472.53,129.96,70.121
463.94,125.22,76.254
456.87,117.89,81
501.82,126.02,73
474.86,120.09,79
465.66,115.73,81.737
489.19,123.64,78.948
432.55,135.4,67
407.15,156.84,65
384.22,155.87,63
415.5,108.2,87
401.14,107.07,89
378.56,109.68,87
371.05,102.8,93
372,121.66,81
365.3,133.12,79.633
369.36,149.71,71.575
342.89,138,79
336.33,131.86,83
341.94,126.76,83
362.92,113.11,89
374.68,160.75,65
348.32,129.95,81
354.46,110.05,89
429.35,106.2,85
388.78,128.35,75
438.06,144.29,65
327.36,111.18,95
323.54,98.61,101
328.68,90.058,107
335.21,91.036,105
342.81,88.424,107
343.56,93.601,101
338.41,100.49,97
335.11,111.78,94.395
328.05,103.93,99
331.76,118.11,91.681
321.07,118.9,91
320.83,110.73,95
312.17,110.2,98.305
316.23,103.89,101.43
376.69,131.72,77
379.89,121.27,83.305
387.4,121.27,81.786
454.96,147.54,61
614.27,232.66,28.919
579.3,196.8,37
548.55,183.68,44.168
342.21,159.97,73
350.76,162.24,71
346.2,169.24,67
337.76,168.88,71
336.49,146.56,77
327.63,147.77,79
333.92,157.63,75
327.17,157.45,77
317.21,160.01,79
325.03,136.35,83
318.02,142.55,83
313.2,145.83,83
304.57,148,85
307.67,158.35,83
297.43,144.04,87
297.88,151.47,85
278.74,146.85,93
280.1,122.84,99
272.56,113.77,105
265.51,117.39,105
287.49,105.34,105
291.69,114.16,99
304.97,98.76,107
293.61,97.987,109
273.85,103.63,109
286.14,87.336,115
463.2,203.03,42.045
606.91,255.34,26.622
638.51,261.14,26.596
543.76,230.41,31
556.58,234.39,29
645.42,246.9,31
554.9,244.78,29
665.63,253.66,29
672.06,268.82,29
652.55,251,29
486.46,210.39,39
495.04,221.68,37
502.2,222.19,37
416.88,193.57,51
582.28,262.51,29
577.99,267.69,29
508.91,217.6,35
499.36,133.91,68.08
495.13,145.75,61.399
451.59,178.85,49
365.33,160.76,65.196
352.51,155.24,73.484
299.03,100.72,105.83
315.23,80.975,115.74
307.12,78.605,118.7
300.36,159.71,85
306.12,122.84,93.129
294.85,122.68,95
289.66,127.58,94.249
302.01,115.68,95
306.59,105.47,102.75
291.16,143.62,91
356.97,117.09,85
386.91,145.97,71
378.51,149.12,69
425.38,152.13,63
415.78,153.8,63
437.18,138.66,65
472.33,163.13,52.855
682.29,191.58,39
540.43,132.25,67
630.83,195.73,39
619.59,157.9,55.261
557.29,190.97,40.134
457.44,189.45,45
562.48,254.29,28.156
347.86,118.78,87
431.42,153.49,63
360.71,153.25,75
361.8,160.42,73
621.55,257.59,27.32
670.64,249.48,31
697.05,241.91,37
693.43,255.74,37
687.69,267.96,33
677.68,280.9,29
625.35,209.35,35
354.22,92.035,101.46
348.71,82.555,110.76
509.75,117.31,78.44
381.38,91.245,100.37
375.31,91.245,104.75
383.87,88.875,104.59
314.68,120.68,93
687.95,198.69,37.852
271.59,95.774,113
278.17,92.04,115
271.66,85.715,118.37
285.43,79.894,121
263.8,79.395,125.4
275.97,72.285,130.19
270.88,67.545,133.35
257.95,69.915,133.06
257.83,130.28,103
390.94,88.875,100.57
354.52,71.495,118.48
366.18,74.655,116.87
368.04,85.715,106.93
362.45,99.935,95.368
358.48,102.66,93
453.59,110.2,84.656
407.96,102.31,91.89
399.96,92.825,96.995
442.82,108.75,85
342.48,152.54,75
377.87,176.11,59
395.62,164.09,61
413.65,175.09,57
403.19,177.75,59
527.08,132.89,69
534.86,125.23,75
584.65,218.18,32.106
610.25,175.75,45
635.35,188.67,38.678
675.08,163.48,53
686.26,172.02,51
328.9,74.93,119
344.98,74.811,117
338.04,72.285,121
625.96,163.13,51.532
337.02,118.89,88.595
428.68,134.69,69.355
412.64,133.59,71
355.93,134.16,79
578.62,157.6,55.874
632.53,238.5,31
446.84,169.51,53
437.08,170.67,53
429.58,164.36,59
349.89,89.665,102.99
602.5,232.87,31
595.91,240,29
472.04,138.9,63
445.76,153.4,59
428.94,144.18,64.045
462.78,178.53,47
313.51,125.33,89
423.51,123.16,77
450.81,204.09,43.792
445.04,131.68,69
443.12,145.75,63.55
466.79,189.48,45
503.02,194.84,40.767
485.01,197.64,41
662.92,172.31,46.306
652.43,198.49,35
656.63,237.89,31
677.46,257.29,31
674.91,209.69,33
665.18,203.24,35
524.97,179.79,47
