151.19,-114.07,15.796
154.23,-135.42,12.906
162.7,-139.61,14.338
-78.966,-36.374,12.057
46.276,-86.951,16.404
123.71,-111.03,16.938
104.35,-28.332,20.334
-58.193,13.146,17.606
-35.903,-12.124,18.115
98.287,11.772,21.038
-27.687,90.54,22.258
89.286,61.176,21.248
107.74,85.762,20.223
116.21,64.368,22.924
16.674,105.85,23.225
27.013,131.79,23.546
162.15,125.42,22.504
144.94,207.83,23.984
153.65,289.57,21.398
195.49,312.98,22.662
308.04,371.21,18.705
234.02,127.21,24.297
264.04,210.65,26.186
278.52,184.88,24.79
238.97,320.29,25.315
265.08,289.31,26.656
96.779,168.11,23.75
-6.0441,74.814,22.25
108.99,56.051,21.75
15.755,123.68,23.711
96.043,172.66,23.266
214.15,238.23,26.081
268.91,298.61,24.912
112.9,-66.971,18.75
118.03,-32.815,18.25
158.48,172.63,23.75
144.57,306,10.75
283.53,372.3,19.792
42.123,4.7253,19.528
112.64,214.82,25.192
28.767,51.471,19.75
241.07,381.07,9.25
174.03,270.1,24.529
